,nama,harga
0,APPLE iPhone 14 128GB - Midnight,15999000
1,APPLE iPhone 14 128GB - Red,15999000
2,APPLE iPhone 14 256GB - Purple,18999000
3,APPLE iPhone 14 256GB - Midnight,18999000
4,APPLE iPhone 14 256GB - Blue,18999000
5,APPLE iPhone 14 512GB - Starlight,22999000
6,APPLE iPhone 15 128GB - Black,16499000
7,APPLE iPhone 15 128GB - Blue,16499000
8,APPLE iPhone 14 256GB - Red,18999000
9,APPLE iPhone 14 512GB - Midnight,22999000
10,APPLE iPhone 14 512GB - Blue,22999000
11,APPLE iPhone 15 256GB - Pink,19499000
12,APPLE iPhone 14 128GB - Starlight,15999000
13,APPLE iPhone 14 128GB - Blue,15999000
14,APPLE iPhone 14 128GB - Purple,15999000
15,APPLE iPhone 14 256GB - Starlight,18999000
16,APPLE iPhone 14 512GB - Purple,22999000
17,APPLE iPhone 14 512GB - Red,22999000
18,APPLE iPhone 15 Plus 128GB - Yellow,18499000
19,SPIGEN Liquid Air Softcase Casing for iPhone 12/iPhone 12 Pro Black,286000
20,APPLE iPhone 13 Pro Max 512GB - Gold,27299000
21,APPLE iPhone 15 Pro 128GB - Black Titanium,20999000
22,APPLE iPhone 15 Pro 512GB -  Blue Titanium,27999000
23,APPLE iPhone 15 Pro 128GB -  Natural Titanium,20999000
24,APPLE iPhone 15 Pro  256GB -  Blue Titanium,23999000
25,APPLE iPhone 15 Pro  256GB -  Natural Titanium,23999000
26,OTTERBOX Defender Series for Apple iPhone 6 - Neon Rose,701500
27,APPLE iPhone 15 Pro Max 512GB - White Titanium,29999000
28,APPLE iPhone 15 Pro Max 256GB - Blue Titanium,24999000
29,APPLE iPhone 15 Pro Max 256GB - Natural Titanium,24999000
30,APPLE iPhone 15 Pro Max 512GB - Natural Titanium,29999000
31,Ringke iPhone 13 Onyx Dark Gray,239000
32,APPLE iPhone X Leather Folio [MQRV2FE/A] - Black,2204000
33,Brooklyn Poniless Tempered Glass iPhone 13/Pro,94000
34,Brooklyn Poniless Tempered Glass iPhone  13ProMax,99000
35,Ringke Full Tempered Glass for iPhone 14,199000
36,DBI Kabel Power Supply Iphone W103,142500
37,APPLE iPhone 13 Silicone Case with MagSafe [MM243FE/A] - marigold,1109000
38,APPLE iPhone 13 Silicone Case with MagSafe [MM263FE/A] - clover,1109000
39,APPLE iPhone 13 Leather Case with MagSafe [MM183FE/A] - Midnight,1412000
